name_en,non_uk_born_%,non_british_nationals_%,year
Isle of Anglesey,3,1,2021-01-01
Gwynedd,2,2,2021-01-01
Conwy,6,3,2021-01-01
Denbighshire,5,2,2021-01-01
Flintshire,5,3,2021-01-01
Wrexham,6,6,2021-01-01
Powys,4,2,2021-01-01
Ceredigion,7,4,2021-01-01
Pembrokeshire,4,2,2021-01-01
Carmarthenshire,3,2,2021-01-01
Swansea,9,7,2021-01-01
Neath Port Talbot,2,1,2021-01-01
Bridgend,3,1,2021-01-01
Vale of Glamorgan,6,2,2021-01-01
Cardiff,14,10,2021-01-01
Rhondda Cynon Taf,6,4,2021-01-01
Merthyr Tydfil,5,3,2021-01-01
Caerphilly,2,2,2021-01-01
Blaenau Gwent,3,1,2021-01-01
Torfaen,3,1,2021-01-01
Monmouthshire,5,3,2021-01-01
Newport,11,7,2021-01-01
Isle of Anglesey,3,1,2020-01-01
Gwynedd,4,3,2020-01-01
Conwy,5,4,2020-01-01
Denbighshire,5,2,2020-01-01
Flintshire,6,5,2020-01-01
Wrexham,6,6,2020-01-01
Powys,4,2,2020-01-01
Ceredigion,5,4,2020-01-01
Pembrokeshire,3,2,2020-01-01
Carmarthenshire,3,2,2020-01-01
Swansea,9,7,2020-01-01
Neath Port Talbot,2,1,2020-01-01
Bridgend,4,1,2020-01-01
Vale of Glamorgan,4,2,2020-01-01
Cardiff,13,9,2020-01-01
Rhondda Cynon Taf,5,3,2020-01-01
Merthyr Tydfil,5,5,2020-01-01
Caerphilly,2,2,2020-01-01
Blaenau Gwent,3,1,2020-01-01
Torfaen,3,1,2020-01-01
Monmouthshire,4,2,2020-01-01
Newport,10,7,2020-01-01
Isle of Anglesey,3,1,2019-01-01
Gwynedd,5,2,2019-01-01
Conwy,5,3,2019-01-01
Denbighshire,5,3,2019-01-01
Flintshire,5,3,2019-01-01
Wrexham,6,6,2019-01-01
Powys,3,2,2019-01-01
Ceredigion,7,5,2019-01-01
Pembrokeshire,4,2,2019-01-01
Carmarthenshire,5,3,2019-01-01
Swansea,11,9,2019-01-01
Neath Port Talbot,4,3,2019-01-01
Bridgend,5,2,2019-01-01
Vale of Glamorgan,6,3,2019-01-01
Cardiff,14,10,2019-01-01
Rhondda Cynon Taf,4,3,2019-01-01
Merthyr Tydfil,5,5,2019-01-01
Caerphilly,3,2,2019-01-01
Blaenau Gwent,3,3,2019-01-01
Torfaen,3,2,2019-01-01
Monmouthshire,5,3,2019-01-01
Newport,11,9,2019-01-01
Isle of Anglesey,3,1,2018-01-01
Gwynedd,4,2,2018-01-01
Conwy,5,4,2018-01-01
Denbighshire,4,2,2018-01-01
Flintshire,6,5,2018-01-01
Wrexham,8,7,2018-01-01
Ceredigion,7,5,2018-01-01
Pembrokeshire,3,3,2018-01-01
Carmarthenshire,5,3,2018-01-01
Swansea,11,8,2018-01-01
Neath Port Talbot,4,2,2018-01-01
Bridgend,4,2,2018-01-01
Vale of Glamorgan,5,2,2018-01-01
Cardiff,13,10,2018-01-01
Rhondda Cynon Taf,3,2,2018-01-01
Caerphilly,3,2,2018-01-01
Blaenau Gwent,3,1,2018-01-01
Torfaen,3,2,2018-01-01
Monmouthshire,4,2,2018-01-01
Newport,9,7,2018-01-01
Powys,3,2,2018-01-01
Merthyr Tydfil,5,5,2018-01-01
Isle of Anglesey,3,1,2017-01-01
Gwynedd,3,2,2017-01-01
Conwy,4,3,2017-01-01
Denbighshire,5,2,2017-01-01
Flintshire,6,5,2017-01-01
Wrexham,9,8,2017-01-01
Powys,4,2,2017-01-01
Ceredigion,5,4,2017-01-01
Pembrokeshire,4,2,2017-01-01
Carmarthenshire,7,4,2017-01-01
Swansea,10,8,2017-01-01
Neath Port Talbot,3,2,2017-01-01
Bridgend,4,2,2017-01-01
Vale of Glamorgan,6,4,2017-01-01
Cardiff,16,11,2017-01-01
Rhondda Cynon Taff,2,1,2017-01-01
Merthyr Tydfil,5,3,2017-01-01
Caerphilly,2,2,2017-01-01
Blaenau Gwent,3,1,2017-01-01
Torfaen,3,1,2017-01-01
Monmouthshire,5,2,2017-01-01
Newport,7,5,2017-01-01
